Date,T(C),ff(kmh),p0(hpa),prec(mm),sky - clear,sky - covered,sky - cloudy,sky - cumulonimbus,atmosphere - haze,atmosphere - fog,atmosphere - freezing fog,weak snowfall,rain - shower,rain - weak,rain,water and granulated snow,water and snow,storm,flash and lightning,storm with rain,drizzle,snow shower,SG6.0RS(COM1-001)_001_001/Total DC Power(kW)
20/10/2023 23:00,0.335952849,14.4,0.275390625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 22:00,0.341846758,10.8,0.265625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 21:00,0.357563851,10.8,0.26953125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 20:00,0.379174853,7.2,0.265625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 19:00,0.388998035,0,0.263671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 18:00,0.42043222,7.2,0.263671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 17:00,0.438113949,7.2,0.2578125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 16:00,0.47740668,7.2,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 15:00,0.52259332,10.8,0.248046875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 14:00,0.540275049,7.2,0.251953125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 13:00,0.542239686,7.2,0.25390625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.631750000
20/10/2023 12:00,0.546168959,10.8,0.259765625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.930500030
20/10/2023 11:00,0.542239686,3.6,0.263671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.782250000
20/10/2023 10:00,0.52259332,7.2,0.26953125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867500000
20/10/2023 09:00,0.502946955,3.6,0.26953125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239249990
20/10/2023 08:00,0.481335953,3.6,0.265625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 07:00,0.444007859,7.2,0.265625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 06:00,0.408644401,3.6,0.26171875,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 05:00,0.41453831,3.6,0.255859375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 04:00,0.408644401,3.6,0.259765625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 03:00,0.434184676,3.6,0.265625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 02:00,0.447937132,0,0.2734375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 01:00,0.457760314,7.2,0.283203125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
20/10/2023 00:00,0.463654224,3.6,0.296875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 23:00,0.47740668,7.2,0.30078125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 22:00,0.512770138,7.2,0.306640625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 21:00,0.532416503,3.6,0.30859375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 20:00,0.52259332,7.2,0.318359375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 19:00,0.544204322,3.6,0.32421875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 18:00,0.544204322,7.2,0.328125,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022500000
19/10/2023 17:00,0.554027505,7.2,0.333984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.307500100
19/10/2023 16:00,0.571709234,7.2,0.337890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.492750000
19/10/2023 15:00,0.58546169,10.8,0.345703125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.027499900
19/10/2023 14:00,0.614931238,7.2,0.361328125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.886750200
19/10/2023 13:00,0.614931238,10.8,0.37109375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.875500000
19/10/2023 12:00,0.622789784,10.8,0.388671875,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.885000050
19/10/2023 11:00,0.620825147,10.8,0.408203125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702250000
19/10/2023 10:00,0.605108055,10.8,0.4296875,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814750000
19/10/2023 09:00,0.571709234,10.8,0.431640625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625500000
19/10/2023 08:00,0.536345776,10.8,0.4453125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239250000
19/10/2023 07:00,0.479371316,3.6,0.455078125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 06:00,0.440078585,0,0.45703125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 05:00,0.432220039,3.6,0.462890625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 04:00,0.436149312,3.6,0.470703125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 03:00,0.430255403,3.6,0.478515625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 02:00,0.442043222,7.2,0.48828125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 01:00,0.461689587,3.6,0.494140625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
19/10/2023 00:00,0.469548134,7.2,0.50390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 23:00,0.483300589,3.6,0.5078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 22:00,0.493123772,7.2,0.513671875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 21:00,0.502946955,7.2,0.517578125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 20:00,0.514734774,7.2,0.521484375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 19:00,0.536345776,7.2,0.5234375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 18:00,0.561886051,7.2,0.525390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067500000
18/10/2023 17:00,0.603143418,3.6,0.52734375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.809500100
18/10/2023 16:00,0.644400786,3.6,0.529296875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.790000000
18/10/2023 15:00,0.671905697,3.6,0.533203125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.644000000
18/10/2023 14:00,0.685658153,7.2,0.5390625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.983249700
18/10/2023 13:00,0.68172888,7.2,0.544921875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.878000300
18/10/2023 12:00,0.671905697,10.8,0.556640625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.375000000
18/10/2023 11:00,0.632612967,7.2,0.568359375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.548250200
18/10/2023 10:00,0.581532417,3.6,0.58203125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.316000000
18/10/2023 09:00,0.565815324,7.2,0.587890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.932250000
18/10/2023 08:00,0.526522593,3.6,0.587890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205250000
18/10/2023 07:00,0.459724951,3.6,0.58984375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 06:00,0.408644401,3.6,0.5859375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 05:00,0.400785855,7.2,0.578125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 04:00,0.406679764,7.2,0.58203125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 03:00,0.41453831,7.2,0.58203125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 02:00,0.42043222,7.2,0.580078125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 01:00,0.430255403,7.2,0.58203125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
18/10/2023 00:00,0.438113949,7.2,0.5859375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 23:00,0.451866405,7.2,0.587890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 22:00,0.465618861,10.8,0.591796875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 21:00,0.485265226,7.2,0.595703125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 20:00,0.497053045,10.8,0.59765625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 19:00,0.520628684,7.2,0.59765625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 18:00,0.540275049,3.6,0.591796875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065500000
17/10/2023 17:00,0.593320236,0,0.587890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.054000000
17/10/2023 16:00,0.644400786,3.6,0.5859375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.112749600
17/10/2023 15:00,0.675834971,3.6,0.58984375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.006250000
17/10/2023 14:00,0.689587426,7.2,0.59375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.667249700
17/10/2023 13:00,0.683693517,7.2,0.603515625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068750000
17/10/2023 12:00,0.667976424,7.2,0.61328125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.855250000
17/10/2023 11:00,0.626719057,7.2,0.623046875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.185000000
17/10/2023 10:00,0.571709234,7.2,0.638671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.638250000
17/10/2023 09:00,0.544204322,7.2,0.638671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974000000
17/10/2023 08:00,0.52848723,3.6,0.640625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235000000
17/10/2023 07:00,0.455795678,3.6,0.642578125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 06:00,0.396856582,7.2,0.63671875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 05:00,0.392927308,7.2,0.626953125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 04:00,0.400785855,7.2,0.62890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 03:00,0.408644401,7.2,0.62890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 02:00,0.412573674,10.8,0.630859375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 01:00,0.42632613,7.2,0.6328125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
17/10/2023 00:00,0.430255403,7.2,0.642578125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 23:00,0.444007859,7.2,0.64453125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 22:00,0.455795678,7.2,0.64453125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 21:00,0.459724951,7.2,0.642578125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 20:00,0.47740668,7.2,0.62890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 19:00,0.497053045,7.2,0.62109375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 18:00,0.526522593,3.6,0.61328125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075500000
16/10/2023 17:00,0.583497053,3.6,0.607421875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.080250000
16/10/2023 16:00,0.609037328,3.6,0.59375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.385750000
16/10/2023 15:00,0.646365422,10.8,0.587890625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.970500000
16/10/2023 14:00,0.656188605,10.8,0.587890625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279000300
16/10/2023 13:00,0.652259332,10.8,0.583984375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.941250000
16/10/2023 12:00,0.612966601,7.2,0.587890625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.341750000
16/10/2023 11:00,0.548133595,10.8,0.59765625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.356249800
16/10/2023 10:00,0.508840864,10.8,0.603515625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.069500000
16/10/2023 09:00,0.479371316,7.2,0.595703125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721250060
16/10/2023 08:00,0.459724951,10.8,0.587890625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182500000
16/10/2023 07:00,0.422396857,10.8,0.578125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 06:00,0.381139489,7.2,0.564453125,4.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 05:00,0.381139489,7.2,0.548828125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 04:00,0.390962672,7.2,0.537109375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 03:00,0.396856582,7.2,0.5234375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 02:00,0.400785855,7.2,0.509765625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 01:00,0.42043222,14.4,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
16/10/2023 00:00,0.42632613,10.8,0.48828125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 23:00,0.436149312,14.4,0.474609375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 22:00,0.445972495,14.4,0.4609375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 21:00,0.455795678,7.2,0.4609375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 20:00,0.47151277,14.4,0.453125,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 19:00,0.479371316,3.6,0.443359375,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 18:00,0.500982318,7.2,0.43359375,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 17:00,0.536345776,7.2,0.42578125,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071499996
15/10/2023 16:00,0.58546169,7.2,0.419921875,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203000010
15/10/2023 15:00,0.605108055,10.8,0.4140625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791250000
15/10/2023 14:00,0.607072692,10.8,0.40625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.353250000
15/10/2023 13:00,0.571709234,14.4,0.40234375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.510999900
15/10/2023 12:00,0.554027505,14.4,0.404296875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662500000
15/10/2023 11:00,0.512770138,7.2,0.4140625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.130750100
15/10/2023 10:00,0.475442043,10.8,0.423828125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442250000
15/10/2023 09:00,0.467583497,7.2,0.4140625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436249970
15/10/2023 08:00,0.463654224,7.2,0.416015625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159000010
15/10/2023 07:00,0.428290766,0,0.40625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 06:00,0.408644401,3.6,0.40234375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 05:00,0.404715128,0,0.40234375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 04:00,0.394891945,3.6,0.408203125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 03:00,0.404715128,3.6,0.4140625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 02:00,0.412573674,7.2,0.416015625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 01:00,0.428290766,10.8,0.423828125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
15/10/2023 00:00,0.442043222,10.8,0.4296875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 23:00,0.449901768,10.8,0.431640625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 22:00,0.469548134,10.8,0.439453125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 21:00,0.485265226,10.8,0.447265625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 20:00,0.489194499,7.2,0.451171875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 19:00,0.504911591,10.8,0.447265625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 18:00,0.538310413,7.2,0.4453125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136500000
14/10/2023 17:00,0.569744597,7.2,0.447265625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.925249900
14/10/2023 16:00,0.593320236,3.6,0.443359375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.603250000
14/10/2023 15:00,0.603143418,7.2,0.4453125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.394250000
14/10/2023 14:00,0.612966601,7.2,0.455078125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.642000000
14/10/2023 13:00,0.603143418,10.8,0.470703125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.636250000
14/10/2023 12:00,0.597249509,10.8,0.486328125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.627750000
14/10/2023 11:00,0.595284872,7.2,0.501953125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.219500100
14/10/2023 10:00,0.583497053,7.2,0.525390625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.821500060
14/10/2023 09:00,0.542239686,7.2,0.53515625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.454999980
14/10/2023 08:00,0.502946955,7.2,0.54296875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.113250000
14/10/2023 07:00,0.485265226,0,0.552734375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 06:00,0.481335953,0,0.552734375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 05:00,0.481335953,3.6,0.552734375,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 04:00,0.487229862,3.6,0.560546875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 03:00,0.491159136,3.6,0.56640625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 02:00,0.504911591,7.2,0.572265625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 01:00,0.504911591,7.2,0.580078125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
14/10/2023 00:00,0.506876228,3.6,0.591796875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 23:00,0.508840864,7.2,0.591796875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 22:00,0.510805501,7.2,0.599609375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 21:00,0.495088409,7.2,0.60546875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 20:00,0.512770138,7.2,0.60546875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 19:00,0.520628684,7.2,0.6015625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 18:00,0.534381139,3.6,0.603515625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099250000
13/10/2023 17:00,0.557956778,0,0.6015625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.575250000
13/10/2023 16:00,0.583497053,7.2,0.595703125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.883249800
13/10/2023 15:00,0.607072692,7.2,0.595703125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.926000000
13/10/2023 14:00,0.599214145,10.8,0.59765625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.977750000
13/10/2023 13:00,0.601178782,10.8,0.6015625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.808750200
13/10/2023 12:00,0.599214145,10.8,0.60546875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.963000000
13/10/2023 11:00,0.593320236,7.2,0.61328125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.750750100
13/10/2023 10:00,0.561886051,7.2,0.619140625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460500000
13/10/2023 09:00,0.552062868,3.6,0.615234375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261500000
13/10/2023 08:00,0.542239686,3.6,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037500000
13/10/2023 07:00,0.532416503,0,0.6171875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 06:00,0.530451866,3.6,0.6015625,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 05:00,0.526522593,3.6,0.58203125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 04:00,0.518664047,7.2,0.580078125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 03:00,0.514734774,7.2,0.5859375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 02:00,0.510805501,7.2,0.583984375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 01:00,0.510805501,10.8,0.583984375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
13/10/2023 00:00,0.512770138,7.2,0.587890625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
12/10/2023 23:00,0.516699411,7.2,0.583984375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
12/10/2023 22:00,0.52848723,10.8,0.583984375,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000
